จบจากโรงเรียน,Central,East,North,Northeast,South,western
สตรีทุ่งสง,0,0,0,0,1,0
สตรีนครสวรรค์,1,0,0,0,0,0
สตรีนนทบุรี,1,0,0,0,0,0
สตรีประเสริฐศิลป์,0,1,0,0,0,0
สตรีปากพนัง,0,0,0,0,1,0
สตรีพังงา,0,0,0,0,1,0
สตรีพัทลุง,0,0,0,0,1,0
สตรีภูเก็ต,0,0,0,0,1,0
สตรียะลา,0,0,0,0,1,0
สตรีระนอง,0,0,0,0,1,0
สตรีราชินูทิศ,0,0,0,1,0,0
สตรีวัดระฆัง,1,0,0,0,0,0
สตรีวัดอัปสรสวรรค์,1,0,0,0,0,0
สตรีวิทยา,1,0,0,0,0,0
สตรีวิทยา๒,1,0,0,0,0,0
สตรีศรีน่าน,0,0,1,0,0,0
สตรีศรีสุริโยทัย,1,0,0,0,0,0
สตรีศึกษา,0,0,0,1,0,0
สตรีสมุทรปราการ,1,0,0,0,0,0
สตรีสิริเกศ,0,0,0,1,0,0
สตรีอ่างทอง,1,0,0,0,0,0
สตรีเศรษฐบุตรบำเพ็ญ,1,0,0,0,0,0
สตึก,0,0,0,1,0,0
สตูลวิทยา,0,0,0,0,1,0
สนามชัยเขต,0,1,0,0,0,0
สภาราชินี2,0,0,0,0,1,0
สภาราชินีจังหวัดตรัง,0,0,0,0,1,0
สมุทรปราการ,1,0,0,0,0,0
สมุทรสาครบูรณะ,1,0,0,0,0,0
สมุทรสาครวิทยาลัย,1,0,0,0,0,0
